idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
2002,46,21,22,174,0,114,0,0
12502,1891,13,14,12607,0,66,1,0
4999,717,26,27,7919,0,26,1,0
5610,350,25,26,12362,0,51,1,0
11846,2055,23,24,4963,2,16,1,0
10098,267,28,29,10382,0,131,1,0
917,2483,27,28,17888,2,190,0,1
8718,213,9,9,4329,1,153,1,0
9185,2585,9,9,10372,1,69,0,0
1524,1177,0,0,1594,0,104,0,0
2358,462,1,1,2354,0,56,0,1
18317,964,29,30,9771,0,101,0,0
7218,777,14,15,7457,0,49,0,0
4771,1275,3,3,4814,0,20,0,0
3960,2846,25,26,3054,0,40,0,1
4468,482,3,3,4485,0,86,1,0
2022,1800,1,1,3167,0,89,0,0
13890,738,17,18,13948,2,108,1,1
16123,1870,24,25,16553,1,35,0,0
2860,1690,1,1,2859,0,33,1,1
64,3161,27,28,5335,0,117,1,1
8604,2767,6,6,3645,0,42,0,0
3253,230,1,1,3277,1,113,1,0
17570,1868,26,27,2447,0,40,0,0
11110,1013,24,25,11329,0,18,0,1
10146,1639,8,8,6687,0,20,0,0
3956,471,6,6,3945,0,91,1,0
6035,2457,18,19,14740,0,169,1,0
8008,2510,20,21,8318,1,5,0,0
5255,202,3,3,197,0,10,0,0
2590,2241,25,26,9163,0,95,0,0
2177,1329,10,10,2167,0,123,1,0
316,1116,26,27,7165,0,3,1,1
6971,783,5,5,7169,0,42,0,1
17071,2552,27,28,2259,0,22,1,0
3552,2100,23,24,2787,1,10,1,0
3089,1194,25,26,3103,0,152,0,0
8232,2813,6,6,8552,1,115,0,0
12507,2825,13,14,8596,2,110,1,1
1211,707,1,1,949,0,78,0,0
12353,529,13,14,8626,0,176,1,0
8255,101,28,29,10678,0,44,1,0
1995,2135,21,22,266,0,79,1,1
13085,918,15,16,13407,1,171,1,1
9159,1094,15,16,13308,1,56,1,1
5145,1775,3,3,1815,0,5,1,0
11394,2027,20,21,11148,0,67,1,0
7353,1113,5,5,1603,0,51,0,0
15642,759,20,21,7173,0,121,0,0
13976,172,17,18,3146,0,51,1,0
6742,2242,26,27,14002,1,87,0,0
12672,1422,15,16,2386,2,15,1,1
2394,823,29,30,3690,0,79,0,0
17965,2493,28,29,4897,0,44,0,1
1850,1286,0,0,1838,0,131,1,0
9424,2609,26,27,3502,0,176,1,0
20,586,7,7,20,1,96,0,0
12410,1169,13,14,12759,0,55,1,0
14616,1088,28,29,9652,1,35,0,1
7911,1310,27,28,8201,1,74,1,1
7020,1502,24,25,16809,1,138,1,1
1289,884,0,0,1842,1,52,1,1
2932,252,29,30,18475,1,66,1,1
1053,869,25,26,11988,0,16,1,0
16590,995,24,25,1888,0,0,1,0
13760,2543,18,19,14750,1,179,1,1
8152,2743,26,27,14601,0,9,1,0
14277,972,28,29,9180,0,96,1,1
1785,24,28,29,17991,1,32,1,0
5316,1123,13,14,475,0,79,1,0
13239,525,15,16,13400,2,43,0,1
2563,1187,20,21,15617,2,157,0,1
4333,1774,3,3,4345,1,95,0,1
2503,898,17,18,7890,0,78,0,0
253,586,17,18,9056,0,84,0,0
5076,2297,3,3,2233,0,6,1,0
2765,1534,1,1,2760,1,12,0,0
510,458,0,0,492,0,20,0,0
5260,2631,5,5,5314,0,13,1,0
3911,246,24,25,3207,0,145,1,0
5618,683,4,4,5683,0,127,0,0
1155,1676,22,23,2591,0,38,1,0
9425,818,26,27,2681,0,5,1,1
9816,15,23,24,3977,0,100,0,0
4396,209,4,4,5591,0,98,1,1
800,1999,18,19,6069,0,161,0,1
5383,656,3,3,5434,0,75,1,0
2726,908,2,2,4136,1,74,0,0
1283,68,13,14,4090,1,53,1,0
4493,2218,16,17,7965,0,80,0,0
7405,2305,27,29,13359,1,174,0,1
1280,433,19,20,13144,1,93,1,0
5860,938,4,4,785,0,33,1,0
4882,3016,28,29,9640,0,90,0,1
2292,391,17,18,14066,0,10,0,0
8954,1765,20,21,1696,0,65,1,0
1259,2402,19,20,5358,0,14,1,0
16569,3136,26,27,17408,0,68,1,1
793,1672,7,7,9155,1,42,0,0
714,627,0,0,693,0,20,0,0
16557,2805,24,25,3060,0,49,1,0
4919,1225,3,3,4974,1,9,1,0
6665,2435,24,25,6838,0,133,0,0
14364,3194,28,29,548,1,20,0,0
1889,2395,4,4,1877,0,116,1,0
17269,3204,25,26,11279,0,93,1,0
14354,1131,17,18,14372,2,78,1,1
2597,1591,1,1,24,0,107,2,0
1496,169,0,0,1487,1,110,0,1
11671,2355,19,20,24,0,78,2,1
2428,346,17,18,1295,0,152,0,0
4872,2849,20,21,15395,0,182,1,0
1245,702,4,4,5831,0,82,0,0
7747,849,18,19,6878,0,89,1,0
10971,3121,26,27,17553,0,107,1,0
17127,1077,26,27,6357,0,88,0,0
8059,785,6,6,1706,0,133,0,0
12282,2482,13,14,8830,0,67,0,1
3078,1296,1,1,3091,0,115,0,0
2029,2255,27,28,3955,0,46,1,0
2309,938,1,1,2306,2,51,0,0
4859,945,3,3,4910,0,53,1,0
6621,1916,5,5,6785,1,36,1,0
714,860,2,2,3992,0,80,0,0
2140,650,4,4,5535,0,152,0,0
4446,769,5,5,288,0,137,0,0
3333,59,19,20,10288,0,104,1,0
17017,649,28,29,1815,0,5,1,0
1723,341,0,0,24,2,151,2,4
15268,709,22,23,11,0,11,1,0
7657,20,25,26,7933,0,53,0,0
2183,888,15,16,1328,1,8,1,0
5063,2145,27,28,15440,0,159,0,0
8922,2796,9,9,10715,1,53,0,1
3480,1447,8,8,10198,1,136,0,1
16452,1449,26,27,17146,1,99,0,0
12630,1292,23,24,7337,0,156,1,0
3951,1545,2,2,3941,0,53,0,1
14172,2469,29,30,18571,0,129,1,0
5294,3001,24,25,1896,0,80,0,0
16504,9,23,24,24,1,15,2,4
15878,1005,22,23,10038,2,169,0,1
2641,1416,1,1,2642,0,16,1,0
9745,1529,8,8,10081,1,149,0,0
6867,1595,6,6,8280,1,76,0,1
5850,843,4,4,2369,0,23,1,0
7993,1743,25,26,17147,1,126,0,1
8491,464,28,29,17799,0,171,1,1
316,2012,19,20,305,1,5,0,0
3323,733,5,5,6864,1,66,1,0
13525,1860,16,17,10501,1,13,0,1
7772,980,20,21,8044,0,38,0,0
12073,2901,12,13,12354,0,176,1,0
10665,2097,9,9,10866,1,171,1,0
6892,2242,8,8,4056,0,8,1,0
11371,1432,29,30,4557,0,115,0,0
4830,1122,7,7,9788,0,46,0,1
14647,10,19,20,14699,1,149,0,1
4302,2004,3,3,3491,1,115,1,1
8986,281,22,23,10060,1,91,1,0
14671,1847,18,19,392,0,80,0,0
14099,2835,25,26,12166,1,113,0,0
6830,1856,7,7,9428,0,59,0,0
6805,1507,23,24,16266,0,137,0,0
3450,2095,3,3,4775,0,20,1,0
17802,121,28,29,12747,0,24,0,0
915,105,19,21,1214,0,42,0,1
4475,1033,3,3,4498,1,168,1,1
6589,2565,5,5,6753,0,161,1,1
4669,1046,19,20,2909,0,16,0,1
5738,2497,5,5,7226,0,7,0,0
5354,1126,21,22,6180,0,115,1,0
1400,2289,22,23,9366,0,8,0,1
5005,1213,5,5,7216,0,31,0,0
5977,1112,4,4,5783,0,178,0,0
17752,2567,27,28,4719,0,188,1,0
13075,170,15,16,13264,0,57,0,0
14376,644,27,28,13061,0,149,0,0
5658,1815,25,26,16604,0,86,1,0
612,3125,20,21,5467,0,157,0,0
6805,1441,27,28,3337,0,10,0,0
18027,147,28,29,18120,0,95,0,1
10385,2814,9,9,4471,2,116,0,0
10743,282,28,29,18038,1,162,1,0
187,2319,4,4,182,0,104,0,1
1745,776,11,11,3841,0,91,1,0
4239,496,29,30,3468,1,89,0,0
937,1285,5,5,2904,0,18,0,0
14636,1584,19,20,2387,1,82,1,0
5282,2652,28,29,2656,0,177,0,0
443,987,12,13,1940,1,48,0,0
11725,1749,11,11,2777,0,80,1,0
5577,386,21,22,7208,1,135,1,1
840,509,0,0,819,1,166,0,0
13982,2309,17,18,3318,1,75,1,0
1154,565,19,20,15021,1,144,0,1
16780,3223,27,28,15904,0,88,1,1
13873,1827,24,25,15325,1,143,0,0
18215,735,28,29,10106,1,56,0,1
16107,1339,24,25,4802,0,58,0,0
463,2780,6,6,444,1,157,0,1
2980,627,1,1,2986,0,88,1,1
9520,2133,8,8,9884,0,32,1,0
2340,1097,11,11,11818,0,77,0,0
12291,2227,14,15,13093,1,127,0,0
8265,2244,17,18,13947,0,132,0,0
720,1769,25,26,12923,0,54,1,0
2149,1418,1,1,1437,0,0,0,0
1105,892,0,0,1089,0,8,0,0
8882,2389,12,14,12493,1,131,1,1
4848,563,11,11,24,2,96,2,0
5643,461,25,26,1030,0,169,1,0
6360,626,4,4,6494,0,12,1,0
12609,1345,25,26,17239,2,17,0,1
14930,2525,19,20,14612,1,124,0,0
