idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
4523,765,10,10,3645,0,104,1,0
17875,2251,28,29,10864,1,56,1,0
5682,1190,7,7,2764,0,36,1,0
5024,814,27,28,972,1,119,1,0
1018,2430,4,4,6593,1,106,0,0
10976,431,26,27,7258,0,119,0,0
10465,729,22,23,14831,2,52,1,13
8094,18,18,19,8403,1,114,0,0
7080,2532,19,20,15025,1,13,1,0
15054,3162,28,29,8045,0,96,1,0
4280,2419,20,21,9300,0,116,1,0
15107,1668,21,22,6243,0,71,1,1
11927,1143,12,13,12206,0,62,0,0
5268,1411,11,11,8173,0,87,0,1
1434,786,12,13,12515,0,150,1,0
11372,1349,28,29,2481,0,136,0,0
9260,2264,7,7,9622,0,49,1,0
5291,488,3,3,5337,0,106,1,0
2811,191,29,30,18677,1,155,1,0
4338,968,26,27,6632,0,141,0,1
2020,538,0,0,2007,0,163,1,1
5445,1081,6,6,671,1,79,0,0
13831,2112,17,18,4698,1,139,0,1
3329,296,4,4,6673,1,171,1,0
6115,2118,7,7,9409,1,83,1,0
9009,477,20,21,247,0,125,0,0
13036,2483,15,16,967,0,159,1,0
7552,2165,6,6,8356,1,22,1,0
11354,1019,18,19,4862,1,16,0,0
1936,1357,4,4,1929,0,66,1,0
12039,3158,26,27,826,0,39,0,0
4137,326,2,2,1384,0,39,0,0
9888,361,8,8,2320,0,32,0,0
15753,1557,29,30,605,0,25,0,0
496,1666,29,30,18581,1,91,0,1
14362,1985,17,18,4532,0,164,1,0
5209,3103,28,29,5266,0,164,1,0
1498,786,26,27,12074,0,44,0,0
4203,1489,2,2,4209,0,136,0,1
1102,889,0,0,1086,1,45,0,0
3761,1260,26,27,582,0,44,1,0
851,1802,5,5,830,0,178,1,1
16807,1840,24,25,8200,0,82,0,0
5663,1740,17,18,9189,0,71,1,0
5837,1504,24,25,3104,0,10,0,1
498,324,3,3,24,1,17,2,4
9986,724,8,8,10280,0,158,1,0
1197,2217,27,28,4632,1,58,0,0
1641,2943,9,9,10928,0,16,1,0
428,1484,10,10,4937,0,49,1,1
2696,2784,19,20,2688,0,177,1,0
16789,2229,24,25,24,2,116,2,1
7681,2376,23,24,542,0,73,0,1
4360,2047,18,19,14827,0,28,1,1
12144,1298,12,13,12440,1,55,0,0
890,2171,20,21,15753,1,141,1,0
344,2213,4,4,6002,0,140,1,0
12600,1061,23,24,2927,0,157,0,1
12649,2017,24,25,16598,1,172,0,0
17852,2996,28,29,1152,2,6,1,0
8364,1525,20,21,15429,0,30,0,1
8825,1273,7,7,9200,0,84,0,0
10897,1461,10,10,5371,0,110,1,0
2986,2257,22,23,2993,0,93,1,1
3556,990,9,9,10674,0,166,1,0
3683,1463,2,2,3687,0,144,0,0
898,2494,22,23,15975,0,98,0,0
5292,463,23,24,3268,0,79,1,0
15226,1195,20,21,15315,0,165,0,0
5903,495,24,25,4189,0,144,1,0
2046,689,0,0,1457,0,166,1,1
5826,1189,15,16,2958,0,183,0,0
14657,2389,20,21,2400,0,21,0,0
11564,17,11,11,11792,1,20,1,0
768,763,27,28,17704,0,116,0,1
17738,1009,27,28,16629,1,76,1,1
3637,1590,12,13,7026,0,44,0,0
15767,1706,23,24,4102,0,73,1,1
9544,683,17,18,7919,0,51,0,0
18418,1715,29,30,4504,1,170,1,1
1299,1959,17,18,24,0,90,2,0
13996,2695,17,18,3559,0,72,0,0
4273,410,2,2,3520,1,116,1,0
10598,1762,9,9,24,0,52,2,5
6592,2329,28,29,406,0,182,1,0
12690,3113,28,29,13116,1,101,1,1
4662,245,21,22,4689,0,74,1,0
9927,423,8,8,3134,1,18,0,4
8499,1515,8,8,10347,1,46,1,0
7547,2289,26,27,7378,0,39,1,0
11826,823,24,25,10037,1,67,1,0
5400,778,18,19,10914,0,105,0,0
1429,2747,26,27,8143,0,113,0,0
3958,1228,2,2,3948,1,162,1,0
1396,843,10,10,11331,1,115,0,1
16302,1112,23,24,3354,0,145,1,0
4813,2882,27,28,12241,1,178,1,1
7387,467,5,5,5240,0,151,0,1
7192,284,11,11,11879,0,38,0,0
5765,2411,4,4,5835,1,8,0,1
15419,1220,20,21,1226,0,93,1,1
6260,610,5,5,2444,1,62,1,0
4525,1542,3,3,3469,0,48,0,0
5357,1028,3,3,646,0,85,0,1
4602,1256,3,3,4627,1,83,1,1
13936,326,24,25,8670,0,8,0,0
