unlock_hour,lock_hour,station_lock,lock_station_name,distance,trip_speed,trip_duration_category,travel_direction,lock_unlock_time_gap_hours
22,5,148,148,9219,26344,0,1,0
17,6,125,125,11697,44527,0,0,1
5,4,99,99,1887,36770,0,1,0
4,14,227,227,2817,3261,1,0,0
1,1,217,217,11983,51506,0,0,0
0,0,122,122,3181,42436,0,0,0
0,0,182,182,5421,7199,0,1,0
6,6,237,237,2100,49717,0,0,0
5,12,72,72,2680,18965,0,0,1
8,18,250,250,11262,21204,0,0,0
2,0,133,133,24,24,1,2,1
17,8,241,241,5273,50085,1,1,0
4,14,162,162,3104,14758,0,0,0
8,18,185,185,6498,9146,0,1,0
3,3,162,162,8680,44405,0,1,0
17,8,127,127,6750,52361,0,0,0
20,21,128,128,186,189,1,1,0
15,16,198,198,9059,35839,0,0,0
8,18,145,145,16609,44415,0,0,0
9,9,237,237,1631,22387,0,1,0
18,10,195,195,490,503,0,1,1
0,0,159,159,555,34469,0,1,0
12,12,110,110,3010,6556,0,1,0
19,20,220,220,3470,29725,1,0,0
17,8,251,251,6452,45046,1,0,0
21,22,85,85,2582,2941,1,1,0
3,17,31,31,6063,39462,0,1,1
8,18,171,171,373,32447,0,0,0
13,13,90,90,18699,57659,0,1,0
0,0,51,51,6014,8246,1,1,0
9,22,60,60,11431,47690,1,0,1
9,9,53,53,24,24,0,2,0
2,2,78,78,483,494,0,0,0
0,0,169,169,1674,24130,0,1,0
0,7,201,201,10886,20065,0,0,1
5,17,81,81,9483,30302,0,1,3
5,4,87,87,11059,20533,0,1,0
2,0,117,117,4029,16337,0,0,1
6,9,76,76,6405,35772,0,0,1
12,12,100,100,8313,13013,0,1,0
10,10,238,238,11572,48711,0,1,0
4,14,49,49,9267,36432,0,1,0
21,22,92,92,1851,2040,0,0,0
13,2,101,101,7921,33648,0,0,1
13,2,190,190,16102,41873,0,1,1
7,7,118,118,174,2211,0,0,0
19,20,85,85,3620,45160,0,0,0
18,10,52,52,2567,37896,0,1,1
0,0,69,69,13995,49955,0,0,0
5,4,171,171,2810,53372,0,1,0
7,7,78,78,3426,20448,1,1,0
2,2,160,160,271,14388,0,0,0
13,2,8,8,2457,41339,0,0,1
6,6,131,131,604,22633,0,0,0
12,3,178,178,24,24,0,2,1
12,12,87,87,2465,2796,0,1,0
12,12,68,68,7550,25189,0,0,0
7,7,83,83,6619,36139,0,1,0
8,18,190,190,1717,1881,1,1,0
6,9,41,41,4808,6167,0,1,1
20,21,123,123,3648,4417,0,1,0
9,9,7,7,1725,21367,0,0,0
21,22,241,241,7163,10463,0,0,0
3,3,71,71,16521,43902,0,0,0
9,9,30,30,2933,13118,1,0,0
3,3,183,183,13536,49716,0,1,0
21,13,64,64,350,17967,0,1,1
19,20,211,211,4295,50651,0,1,0
19,20,215,215,8284,17748,0,0,0
5,12,25,25,26,26,1,1,1
1,1,83,83,2740,9477,0,0,0
17,8,67,67,5339,15447,0,1,0
1,1,180,180,15789,40129,1,0,0
14,5,8,8,5778,10023,0,1,1
19,20,169,169,3606,57033,0,0,0
13,13,157,157,13527,29495,0,1,0
20,21,130,130,1908,43023,0,1,0
12,3,12,12,5855,32264,0,1,1
3,3,134,134,11920,40045,0,1,0
12,12,144,144,6949,20559,0,0,0
5,4,35,35,2411,50400,0,1,0
